,IndexID,Date,HVMT_All_Systems,HVMT_Total_Rural,HVMT_Other_Rural,HVMT_Rural_Other_Arterial,HVMT_Rural_Interstate
740,875,12/1/2019 0:00,274000000000.0,80395000000.0,27483000000.0,31257000000.0,21654000000.0
741,874,11/1/2019 0:00,260000000000.0,77563000000.0,26809000000.0,30302000000.0,20452000000.0
742,873,10/1/2019 0:00,284000000000.0,86765000000.0,30402000000.0,33957000000.0,22406000000.0
743,872,9/1/2019 0:00,272000000000.0,83642000000.0,29248000000.0,32912000000.0,21482000000.0
744,871,8/1/2019 0:00,287000000000.0,90787000000.0,31380000000.0,35215000000.0,24192000000.0
745,870,7/1/2019 0:00,296000000000.0,94815000000.0,32732000000.0,36666000000.0,25417000000.0
746,869,6/1/2019 0:00,281000000000.0,87384000000.0,30525000000.0,33858000000.0,23002000000.0
747,868,5/1/2019 0:00,286000000000.0,87500000000.0,30687000000.0,33645000000.0,23167000000.0
748,867,4/1/2019 0:00,282000000000.0,84394000000.0,30050000000.0,32269000000.0,22075000000.0
749,866,3/1/2019 0:00,272000000000.0,79928000000.0,27977000000.0,31012000000.0,20939000000.0
750,865,2/1/2019 0:00,227000000000.0,65277000000.0,22764000000.0,25662000000.0,16851000000.0
751,864,1/1/2019 0:00,248000000000.0,71450000000.0,25101000000.0,27615000000.0,18734000000.0
752,863,12/1/2018 0:00,270000000000.0,78682000000.0,27097000000.0,30583000000.0,21002000000.0
753,862,11/1/2018 0:00,260000000000.0,77687000000.0,26662000000.0,30277000000.0,20747000000.0
754,861,10/1/2018 0:00,281000000000.0,85575000000.0,29950000000.0,33499000000.0,22126000000.0
755,860,9/1/2018 0:00,267000000000.0,82245000000.0,28675000000.0,32284000000.0,21286000000.0
756,859,8/1/2018 0:00,285000000000.0,89671000000.0,31044000000.0,34782000000.0,23845000000.0
757,858,7/1/2018 0:00,291000000000.0,93400000000.0,32128000000.0,36127000000.0,25145000000.0
758,857,6/1/2018 0:00,283000000000.0,87427000000.0,30742000000.0,33817000000.0,22868000000.0
759,856,5/1/2018 0:00,284000000000.0,86612000000.0,30562000000.0,33288000000.0,22762000000.0
760,855,4/1/2018 0:00,275000000000.0,81961000000.0,29243000000.0,31251000000.0,21466000000.0
761,854,3/1/2018 0:00,271000000000.0,79690000000.0,28069000000.0,30867000000.0,20755000000.0
762,853,2/1/2018 0:00,228000000000.0,65500000000.0,22958000000.0,25682000000.0,16860000000.0
763,852,1/1/2018 0:00,245000000000.0,70351000000.0,24901000000.0,27072000000.0,18378000000.0
